,Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Price sensitivity scores,Income bins,Age
431,Hocus Pocus,39360491.0,39360491.0,,28000000.0,Jul 16 1993,,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,29.0,6.0,15893.0,0.05177869776489436,60.0,29.0
432,The Howling,17985000.0,17985000.0,,1000000.0,Apr 10 1981,,,,,,,Joe Dante,60.0,6.5,8731.0,0.02365925463942066,65.0,60.0
433,High Plains Drifter,15700000.0,15700000.0,,15700000.0,Jan 01 1972,,,Universal,Original Screenplay,Western,Historical Fiction,Clint Eastwood,,7.6,15718.0,0.020653338773361375,76.0,
434,Hoop Dreams,7768371.0,11768371.0,,700000.0,Oct 14 1994,PG-13,,Fine Line,Based on Real Life Events,Documentary,Factual,,98.0,8.0,9492.0,0.010219286495551342,80.0,98.0
435,Happy Gilmore,38623460.0,38623460.0,,10000000.0,Feb 16 1996,PG-13,92.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58.0,6.9,54111.0,0.05080913401142498,69.0,58.0
436,The Hudsucker Proxy,2816518.0,14938149.0,,40000000.0,Mar 11 1994,PG,,Warner Bros.,Original Screenplay,Comedy,,Joel Coen,58.0,7.4,32344.0,0.0037051274149853654,74.0,58.0
437,A Hard Day's Night,12299668.0,12299668.0,,560000.0,Aug 11 1964,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,100.0,7.6,15291.0,0.01618020445884536,76.0,100.0
438,Heroes,655538.0,655538.0,,400000.0,Oct 24 2008,R,,Eros Entertainment,Original Screenplay,Adventure,Contemporary Fiction,,,6.1,505.0,0.0008623597702427879,61.0,
439,The Hunt for Red October,120709866.0,200500000.0,,30000000.0,Mar 02 1990,,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John McTiernan,95.0,7.6,55202.0,0.15879374240669147,76.0,95.0
440,Harper,12000000.0,12000000.0,,3500000.0,Feb 23 1966,,,,,,,,,7.0,2395.0,0.015785991419129713,70.0,
441,Harriet the Spy,26570048.0,26570048.0,,13000000.0,Jul 10 1996,PG,101.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,45.0,5.8,2963.0,0.03495287914448872,58.0,45.0
442,Le hussard sur le toit,1320043.0,1320043.0,,35000000.0,Apr 19 1996,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,,6.9,3083.0,0.0017365156225735204,69.0,
443,The Hustler,7600000.0,7600000.0,,2000000.0,Sep 25 1961,,,,,,,,97.0,8.1,25385.0,0.009997794565448819,81.0,97.0
444,Hud,10000000.0,10000000.0,,2500000.0,May 29 1963,,,,,,,Martin Ritt,79.0,3.4,93.0,0.013154992849274762,34.0,79.0
445,Hudson Hawk,17218916.0,17218916.0,,65000000.0,May 24 1991,,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Lehmann,20.0,5.3,21920.0,0.022651471685226278,53.0,20.0
446,Heaven's Gate,3484331.0,3484331.0,,44000000.0,Nov 19 1980,,,,,,,Michael Cimino,,6.5,4649.0,0.004583634938950638,65.0,
447,Hav Plenty,2301777.0,2301777.0,,650000.0,Jun 19 1998,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,5.6,580.0,0.0030279859975625113,56.0,
448,House of Wax,23800000.0,23800000.0,,658000.0,Apr 10 1953,R,,,,,,,94.0,5.4,32159.0,0.03130888298127393,54.0,94.0
449,Hawaii,34562222.0,34562222.0,,15000000.0,Oct 10 1966,,,MGM,,,,George Roy Hill,,6.4,1153.0,0.045466578326504685,64.0,
450,Howard the Duck,16295774.0,16295774.0,,30000000.0,Aug 01 1986,,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,,16.0,4.1,16051.0,0.0,41.0,16.0
451,High Anxiety,31063038.0,31063038.0,,3400000.0,Dec 23 1977,,,,,,,Mel Brooks,73.0,6.5,7025.0,0.04086340427667502,65.0,73.0
452,Hybrid,162605.0,162605.0,,200000.0,May 10 2002,Not Rated,,Indican Pictures,Based on Real Life Events,Documentary,Factual,,,2.2,380.0,0.00021390676122563226,22.0,
453,It's a Wonderful Life,6600000.0,6600000.0,19339789.0,3180000.0,Dec 31 1945,,,,,,,Frank Capra,94.0,8.7,101499.0,0.008682295280521344,87.0,94.0
454,The Ice Pirates,13075390.0,13075390.0,,9000000.0,Mar 16 1984,,,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,,11.0,5.1,3600.0,0.0,51.0,11.0
455,Independence Day,306169255.0,817400878.0,,75000000.0,Jul 02 1996,PG-13,145.0,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61.0,6.5,149493.0,0.4027654360192781,65.0,61.0
456,The Island of Dr. Moreau,27682712.0,27682712.0,,40000000.0,Aug 23 1996,PG-13,95.0,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23.0,4.1,13770.0,0.03641658784085326,41.0,23.0
457,Iraq for Sale: The War Profiteers,0.0,0.0,,775000.0,Sep 08 2006,,,,Based on Real Life Events,Documentary,Factual,,100.0,7.8,854.0,0.0,78.0,100.0
458,In Her Line of Fire,884.0,884.0,,1000000.0,Apr 21 2006,R,,Regent Releasing,Original Screenplay,Action,Contemporary Fiction,,,3.5,337.0,1.162901367875889e-06,35.0,
459,The Indian in the Cupboard,35627222.0,35627222.0,,45000000.0,Jul 14 1995,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,68.0,5.7,4836.0,0.04686758506495245,57.0,68.0
460,I Love You Ö Don't Touch Me!,33598.0,33598.0,,68000.0,Feb 20 1998,,,MGM,,,,,,5.6,298.0,4.419814497499335e-05,56.0,
461,Illuminata,836641.0,836641.0,,10000000.0,Aug 06 1999,R,,Artisan,Based on Play,Drama,Historical Fiction,,,6.1,1100.0,0.0011006006372410086,61.0,
462,In Cold Blood,13000000.0,13000000.0,,3500000.0,Dec 31 1966,,,,,,,Richard Brooks,88.0,8.1,10562.0,0.01710149070405719,81.0,88.0
463,In the Company of Men,2883661.0,2883661.0,,25000.0,Aug 01 1997,R,,Sony Pictures Classics,Based on Play,Drama,Contemporary Fiction,Neil LaBute,89.0,7.2,7601.0,0.0037934539834732508,72.0,89.0
464,The Inkwell,8864699.0,8864699.0,,8000000.0,Apr 22 1994,R,,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,,29.0,5.7,542.0,0.011661505195597313,57.0,29.0
465,Invaders from Mars,4884663.0,4984663.0,,12000000.0,Jun 06 1986,,,Cannon,Remake,Horror,Science Fiction,Tobe Hooper,27.0,5.0,1933.0,0.006425770683611701,50.0,27.0
466,L'incomparable mademoiselle C.,493905.0,493905.0,,3400000.0,Apr 23 2004,Not Rated,,,,,,,,6.1,66.0,0.0006497316743221052,61.0,
467,Intolerance,,,,385907.0,Sep 05 2016,,,,,,,,96.0,,,,,96.0
468,The Island,15716828.0,15716828.0,,22000000.0,Jun 13 1980,PG-13,138.0,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,,6.9,82601.0,0.020675475995328135,69.0,
469,Eye See You,79161.0,1807990.0,,55000000.0,Sep 20 2002,Not Rated,,,,,,,,5.1,397.0,0.00010413623889414395,51.0,
470,In the Heat of the Night,24379978.0,24379978.0,,2000000.0,Aug 02 1967,,,MGM,,,,Norman Jewison,96.0,8.1,22429.0,0.0320718436255476,81.0,96.0
471,Jack,58617334.0,58617334.0,,45000000.0,Aug 09 1996,PG-13,113.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17.0,5.3,17267.0,0.0,53.0,17.0
472,Jade,9812870.0,9812870.0,,50000000.0,Oct 13 1995,R,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,William Friedkin,16.0,4.8,5279.0,0.0,48.0,16.0
473,Jingle All the Way,60592389.0,129832389.0,,60000000.0,Nov 22 1996,PG,89.0,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16.0,4.9,22928.0,0.0,49.0,16.0
474,Dr. No,16067035.0,59567035.0,,1000000.0,May 08 1963,,,MGM,Based on Book/Short Story,Action,,,,7.3,36019.0,0.021136173053404733,73.0,
475,The Jungle Book,44342956.0,44342956.0,,27000000.0,Dec 25 1994,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,,5.8,5564.0,0.05833312690957054,58.0,
476,Judge Dredd,34687912.0,113487912.0,,85000000.0,Jun 30 1995,R,,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,,15.0,4.9,30736.0,0.0,49.0,15.0
477,The Jerky Boys,7555256.0,7555256.0,,4000000.0,Feb 03 1995,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,10.0,3.9,1481.0,0.0,39.0,10.0
478,Jefferson in Paris,2461628.0,2461628.0,,14000000.0,Mar 31 1995,PG-13,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,James Ivory,36.0,5.6,1464.0,0.0032382698737574533,56.0,36.0
479,JFK,70405498.0,205400000.0,,40000000.0,Dec 20 1991,R,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83.0,8.0,59684.0,0.09261838227396285,80.0,83.0
480,Journey from the Fall,635305.0,635305.0,,1300000.0,Mar 23 2007,R,,Imaginasian,Original Screenplay,Drama,Historical Fiction,,92.0,7.2,586.0,0.0008357432732108502,72.0,92.0
481,Jekyll and Hyde... Together Again,3707583.0,3707583.0,,5000000.0,Aug 27 1982,,,Universal,Based on Book/Short Story,Comedy,Science Fiction,,,5.5,486.0,0.004877322785309267,55.0,
482,Jumanji,100458310.0,262758310.0,,65000000.0,Dec 15 1995,PG,,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48.0,6.4,54973.0,0.13215283497002273,64.0,48.0
483,The Juror,22730924.0,22730924.0,,44000000.0,Feb 02 1996,R,120.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,16.0,5.3,6482.0,0.0,53.0,16.0
484,Jerusalema,7294.0,7294.0,,2000000.0,Jun 11 2010,R,,Anchor Bay Entertainment,Original Screenplay,,Historical Fiction,,,7.9,6777.0,9.595251784261011e-06,79.0,
485,Jurassic Park,357067947.0,923067947.0,,63000000.0,Jun 10 1993,PG-13,,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87.0,7.9,151365.0,0.46972262894902195,79.0,87.0
486,Johnny Suede,55000.0,55000.0,,500000.0,Dec 31 1990,,,Miramax,Original Screenplay,Drama,,,,5.8,1587.0,7.235246067101119e-05,58.0,
487,Jaws,260000000.0,470700000.0,,12000000.0,Jun 20 1975,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100.0,8.3,138017.0,0.3420298140811438,83.0,100.0
488,Jaws 2,102922376.0,208900376.0,,20000000.0,Jun 16 1978,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,,56.0,5.6,18793.0,0.13539431203103683,56.0,56.0
489,Jaws 4: The Revenge,15728335.0,15728335.0,,23000000.0,Jul 17 1987,PG-13,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,,,2.6,15632.0,0.020690613445599797,26.0,
490,Kabhi Alvida Naa Kehna,3275443.0,32575443.0,,10750000.0,Aug 11 2006,Not Rated,,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,,67.0,5.6,4128.0,0.004308842924320707,56.0,67.0
491,Kickboxer,14533681.0,14533681.0,,1500000.0,Sep 08 1989,,,Cannon,Original Screenplay,Action,Contemporary Fiction,Mark DiSalle,,5.5,11692.0,0.019119046962864046,55.0,
492,Kids,7412216.0,20412216.0,,1500000.0,Jul 21 1995,Not Rated,90.0,Shining Excalibur,Original Screenplay,Drama,Contemporary Fiction,,50.0,6.7,26122.0,0.009750764847727997,67.0,50.0
493,Kingpin,25023424.0,32223424.0,,25000000.0,Jul 26 1996,R,113.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51.0,6.7,28404.0,0.032918296378437045,67.0,51.0
494,Kindergarten Cop,91457688.0,202000000.0,,26000000.0,Dec 21 1990,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50.0,5.8,40433.0,0.12031252316512021,58.0,50.0
495,King Kong (1933),10000000.0,10000000.0,,670000.0,Apr 07 2033,,100.0,,,,,,,,,0.013154992849274762,,
496,King Kong,52614445.0,90614445.0,,23000000.0,Dec 17 1976,,,,,,,John Guillermin,46.0,7.6,132720.0,0.06921426477435602,76.0,46.0
497,Kiss of Death,14942422.0,14942422.0,,40000000.0,Apr 21 1995,R,,20th Century Fox,Remake,Drama,Contemporary Fiction,Barbet Schroeder,67.0,7.6,2374.0,0.01965674545608459,76.0,67.0
498,The Kings of Appletown,0.0,0.0,,7000000.0,Dec 12 2008,,,,Original Screenplay,Action,Contemporary Fiction,,,,,0.0,,
499,Koltchak,0.0,38585047.0,,20000000.0,Oct 10 2008,,,,,,,,,,,0.0,,
500,Kingdom of the Spiders,17000000.0,17000000.0,,500000.0,Dec 31 1976,,,,,,,,44.0,5.7,1463.0,0.022363487843767096,57.0,44.0
501,Keeping it Real: The Adventures of Greg Walloch,1358.0,1358.0,,100000.0,Nov 09 2001,Not Rated,,Avatar,,,,,,,,1.7864480289315127e-06,,
502,Akira,19585.0,19585.0,,8000000.0,Apr 27 2001,R,,,Based on Comic/Graphic Novel,Action,,,,7.9,39948.0,2.576405349530462e-05,79.0,
503,Krush Groove,11052713.0,11052713.0,,3000000.0,Oct 25 1985,,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,,5.8,588.0,0.01453983604800862,58.0,
504,Krrish,1430721.0,32430721.0,,10000000.0,Jun 23 2006,Not Rated,,AdLab Films,Original Screenplay,Action,Science Fiction,,100.0,6.1,2735.0,0.0018821124524307238,61.0,100.0
505,Kansas City,1353824.0,1353824.0,,19000000.0,Aug 16 1996,R,,New Line,Original Screenplay,Drama,Historical Fiction,Robert Altman,58.0,6.0,2397.0,0.0017809545039176556,60.0,58.0
506,The Last Emperor,43984000.0,43984000.0,,25000000.0,Nov 20 1987,,,Sony/Columbia,Based on Book/Short Story,Drama,Dramatization,Bernardo Bertolucci,91.0,7.9,24262.0,0.057860920548250115,79.0,91.0
507,Last Action Hero,50016394.0,137298489.0,,85000000.0,Jun 18 1993,,,Sony Pictures,Original Screenplay,Action,Fantasy,John McTiernan,38.0,5.9,43171.0,0.06579653054165091,59.0,38.0
508,Live and Let Die,35400000.0,161800000.0,,7000000.0,Jun 27 1973,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,64.0,6.8,24044.0,0.04656867468643266,68.0,64.0
509,Lage Raho Munnabhai,2217561.0,31517561.0,,2700000.0,Sep 01 2006,Not Rated,,Eros Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,,7.8,5236.0,0.002917199909783059,78.0,
510,The Last Waltz,321952.0,321952.0,,35000.0,Apr 05 2002,Not Rated,,MGM,,,,,,8.0,6893.0,0.0004235276257809708,80.0,
511,The Last Big Thing,22434.0,22434.0,,1000000.0,Sep 25 1998,R,,Stratosphere Entertainment,,,,,,6.0,139.0,2.9511910958063e-05,60.0,
512,The Land Before Time,48092846.0,81972846.0,,12300000.0,Nov 18 1988,,,Universal,Original Screenplay,Adventure,Historical Fiction,Don Bluth,71.0,6.9,14017.0,0.06326610452312724,69.0,71.0
513,The Longest Day,39100000.0,50100000.0,,10000000.0,Oct 04 1962,,,20th Century Fox,Based on Real Life Events,Action,Dramatization,,92.0,7.8,17712.0,0.05143602204066432,78.0,92.0
514,The Living Daylights,51185000.0,191200000.0,,40000000.0,Jul 31 1987,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,73.0,6.7,23735.0,0.06733383089901288,67.0,73.0
515,Aladdin,217350219.0,504050219.0,,28000000.0,Nov 11 1992,G,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,,,7.8,69090.0,0.28592405767333035,78.0,
516,A Low Down Dirty Shame,29317886.0,29317886.0,,10000000.0,Nov 23 1994,R,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Keenen Ivory Wayans,,5.4,1847.0,0.03856765806858527,54.0,
517,Love and Death on Long Island,2542264.0,2542264.0,,4030000.0,Mar 06 1998,PG-13,,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.9,2506.0,0.0033443464740968653,69.0,
518,Ladyhawke,18400000.0,18400000.0,,20000000.0,Apr 12 1985,,,Warner Bros.,Original Screenplay,Action,Fantasy,Richard Donner,63.0,6.7,15260.0,0.024205186842665562,67.0,63.0
519,Nikita,5017971.0,5017971.0,,7000000.0,Mar 08 1991,,,Goldwyn Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,,7.5,24872.0,0.006601137262286813,75.0,
520,Lion of the Desert,1500000.0,1500000.0,,35000000.0,Dec 31 1979,,,United Film Distribution Co.,,,,,,7.8,2659.0,0.001973248927391214,78.0,
521,Legal Eagles,49851591.0,49851591.0,,40000000.0,Jun 18 1986,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50.0,5.6,4471.0,0.065579732312997,56.0,50.0
522,Legend,15502112.0,15502112.0,,25000000.0,Apr 18 1986,,,Universal,Original Screenplay,Adventure,Fantasy,Ridley Scott,,6.1,20734.0,0.020393017250865647,61.0,
523,The Last House on the Left,3100000.0,3100000.0,,87000.0,Aug 30 1972,R,,,,,,,63.0,6.7,22141.0,0.004078047783275176,67.0,63.0
524,Lifeforce,11603545.0,11603545.0,,25000000.0,Jun 21 1985,,,Sony/TriStar,Based on Book/Short Story,Horror,Science Fiction,Tobe Hooper,57.0,5.8,5727.0,0.015264455150123792,58.0,57.0
525,Lady in White,1705139.0,1705139.0,,4700000.0,Apr 22 1988,,,New Century Vista Film Company,Original Screenplay,Horror,Fantasy,,73.0,6.6,2221.0,0.0022431091352019517,66.0,73.0
526,The Long Kiss Goodnight,33447612.0,33447612.0,,65000000.0,Oct 11 1996,R,120.0,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69.0,6.6,28257.0,0.04400030966853167,66.0,69.0
527,Lake of Fire,25317.0,25317.0,,6000000.0,Oct 03 2007,Not Rated,,ThinkFilm,Based on Real Life Events,Documentary,Factual,,,8.4,1027.0,3.3304495396508915e-05,84.0,
528,Elling,313436.0,313436.0,,2100000.0,May 29 2002,R,,,,,,,,7.5,7114.0,0.00041232483387052845,75.0,
529,Lolita (1962),9250000.0,9250000.0,,2000000.0,Jan 01 1962,,,,,Drama,,Stanley Kubrick,,,,0.012168368385579154,,
530,Elmer Gantry,10400000.0,10400000.0,,3000000.0,Dec 31 1959,,,,,,,Richard Brooks,96.0,7.8,4185.0,0.013681192563245752,78.0,96.0
531,El Mariachi,2040920.0,2040920.0,,7000.0,Feb 26 1993,,,Sony/Columbia,Original Screenplay,Action,,Robert Rodriguez,,7.0,19668.0,0.002684828800594185,70.0,
532,Last Man Standing,18115927.0,18115927.0,,67000000.0,Sep 20 1996,R,100.0,New Line,Original Screenplay,Action,Historical Fiction,Walter Hill,,,,0.02383148901429836,,
533,Aliens,85160248.0,183316455.0,,17000000.0,Jul 18 1986,R,137.0,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100.0,7.5,84.0,0.11202824534824654,75.0,100.0
534,Alien³,54927174.0,158500000.0,,55000000.0,May 22 1992,R,,20th Century Fox,Original Screenplay,Action,Science Fiction,David Fincher,37.0,6.3,78860.0,0.07225665812008707,63.0,37.0
535,The Lion King,328539505.0,783839505.0,,79300000.0,Jun 15 1994,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92.0,8.2,136503.0,0.432193483897927,82.0,92.0
536,Love and Death,20123742.0,20123742.0,,3000000.0,Jun 10 1975,,,MGM,Original Screenplay,Comedy,,Woody Allen,100.0,7.6,12111.0,0.02647276821106502,76.0,100.0
537,Love and Other Catastrophes,212285.0,743216.0,,250000.0,Mar 28 1997,R,,Fox Searchlight,,Comedy,,,,5.7,1406.0,0.00027926076570082927,57.0,
538,Love Letters,5269990.0,5269990.0,,550000.0,Apr 27 1984,PG-13,,New World,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,7.3,477.0,0.00693266807657495,73.0,
539,The Legend of the Lone Ranger,13400000.0,13400000.0,,18000000.0,May 22 1981,,,Universal,Remake,Western,Historical Fiction,,,4.6,755.0,0.01762769041802818,46.0,
540,The Last of the Mohicans,72455275.0,72455275.0,,40000000.0,Sep 25 1992,,,20th Century Fox,Based on Book/Short Story,Action,Historical Fiction,Michael Mann,97.0,7.8,45410.0,0.09531486245172364,78.0,97.0
541,Love Me Tender,9000000.0,9000000.0,,1000000.0,Dec 31 1955,,,,,,,,38.0,5.9,1301.0,0.011839493564347285,59.0,38.0
542,The Long Riders,15198912.0,15198912.0,,10000000.0,May 16 1980,,,United Artists,Original Screenplay,Action,Historical Fiction,Walter Hill,79.0,7.1,3791.0,0.019994157867675638,71.0,79.0
543,Losin' It,1246141.0,1246141.0,,7000000.0,Apr 08 1983,,,,,,,,,4.6,1668.0,0.00163929759441881,46.0,
544,The Loss of Sexual Innocence,399793.0,399793.0,,4000000.0,May 28 1999,,,Sony Pictures,,,,Mike Figgis,45.0,4.9,2263.0,0.0005259274056190105,49.0,45.0
545,Legends of the Fall,66502573.0,66502573.0,,30000000.0,Dec 23 1994,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,63.0,7.1,39815.0,0.08748408722733729,71.0,63.0
546,A League of Their Own,107533925.0,132440066.0,,40000000.0,Jul 01 1992,,,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Penny Marshall,81.0,6.9,33426.0,0.14146080144294484,69.0,81.0
547,Loaded Weapon 1,27979399.0,27979399.0,,13000000.0,Feb 05 1993,PG-13,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,,5.7,17637.0,0.03680687937720054,57.0,
548,The Lost Weekend,11000000.0,11000000.0,,1250000.0,Dec 31 1944,,,,,,,Billy Wilder,100.0,8.2,11864.0,0.014470492134202238,82.0,100.0
549,Le petit Nicolas,201857.0,52339566.0,,30000000.0,Feb 19 2010,,,,,,,,,6.9,1505.0,0.0002655427391576056,69.0,
550,Logan's Run,25000000.0,25000000.0,,7000000.0,Dec 31 1975,,,,,,Science Fiction,,70.0,6.7,14947.0,0.03288748212318691,67.0,70.0
551,Betty Fisher et autres histoires,206400.0,206400.0,,7500000.0,Sep 13 2002,Not Rated,,WellSpring,Based on Book/Short Story,Drama,,,,6.9,1054.0,0.00027151905240903107,69.0,
552,Light Sleeper,1050861.0,1050861.0,,5000000.0,Sep 21 1992,,,,,,,,94.0,6.7,1986.0,0.0013824068940581726,67.0,94.0
553,Little Shop of Horrors,38747385.0,38747385.0,,30000000.0,Dec 19 1986,,,Warner Bros.,Remake,Musical,Fantasy,Frank Oz,91.0,6.6,21521.0,0.05097215726030962,66.0,91.0
554,Lone Star,12961389.0,12961389.0,,5000000.0,Jun 21 1996,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,92.0,7.6,14599.0,0.017050697961166855,76.0,92.0
555,Latter Days,833118.0,833118.0,,850000.0,Jan 30 2004,R,,TLA Releasing,,Drama,Contemporary Fiction,,,7.4,7157.0,0.0010959661332602092,74.0,
556,Lethal Weapon,65192350.0,120192350.0,,15000000.0,Mar 06 1987,,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,90.0,7.6,54994.0,0.08576048980774176,76.0,90.0
557,Lethal Weapon 3,144731527.0,319700000.0,,35000000.0,May 15 1992,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56.0,6.5,39735.0,0.19039422027496172,65.0,56.0
558,The Last Time I Committed Suicide,12836.0,12836.0,,4000000.0,Jun 20 1997,R,,Roxie Releasing,,,,,,5.7,1181.0,1.6885748821329083e-05,57.0,
559,Little Voice,4595000.0,4595000.0,,6000000.0,Dec 04 1998,R,,Miramax,Based on Play,Musical,Contemporary Fiction,,83.0,6.9,8453.0,0.006044719214241753,69.0,83.0
560,The Last Temptation of Christ,8373585.0,8373585.0,,7000000.0,Aug 12 1988,,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,83.0,7.5,20934.0,0.01101544507977944,75.0,83.0
561,License to Kill,34667015.0,156167015.0,,42000000.0,Jul 14 1989,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,,6.5,24558.0,0.045604433443070094,65.0,
562,Cama adentro,200433.0,200433.0,,800000.0,Jul 18 2007,Not Rated,,Film Sales Company,Original Screenplay,Drama,Historical Fiction,,,7.2,466.0,0.00026366946817586885,72.0,
563,Leaving Las Vegas,31983777.0,49800000.0,,4000000.0,Oct 27 1995,R,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,89.0,7.6,42131.0,0.04207463577277986,76.0,89.0
564,The Lawnmower Man,32100816.0,32100816.0,,10000000.0,Mar 06 1992,,,New Line,Original Screenplay,Action,Science Fiction,,47.0,5.1,12607.0,0.04222860049358849,51.0,47.0
565,Lone Wolf McQuade,12232628.0,12232628.0,,5000000.0,Apr 15 1983,,,Orion Pictures,Original Screenplay,Action,Contemporary Fiction,,,5.8,2917.0,0.016092013386783822,58.0,
566,Little Women,50003303.0,50003303.0,,15000000.0,Dec 21 1994,PG,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,89.0,7.1,16514.0,0.06577930934051192,71.0,89.0
567,Lawrence of Arabia,37495385.0,69995385.0,,15000000.0,Dec 16 1962,,,Sony Pictures,Based on Book/Short Story,Adventure,Dramatization,David Lean,98.0,8.6,79421.0,0.049325152155580414,86.0,98.0
568,Menace II Society,27731527.0,27731527.0,,3500000.0,May 26 1993,R,,New Line,Original Screenplay,Action,Contemporary Fiction,Albert Hughes,85.0,7.4,14807.0,0.036480803938447,74.0,85.0
569,Much Ado About Nothing,22549338.0,22549338.0,,8000000.0,May 07 1993,,,Goldwyn Entertainment,Based on Play,Drama,Historical Fiction,Kenneth Branagh,90.0,7.4,22470.0,0.029663638014587965,74.0,90.0
570,Major Dundee,14873.0,14873.0,,3800000.0,Apr 07 1965,PG-13,,Sony Pictures,Based on Book/Short Story,Western,Historical Fiction,,97.0,6.7,2588.0,1.9565420864726353e-05,67.0,97.0
571,The Magic Flute,0.0,0.0,,27000000.0,Dec 31 1969,,,Here Films,,,,Kenneth Branagh,,6.4,499.0,0.0,64.0,
572,Mata Hari,900000.0,900000.0,,558000.0,Dec 31 1930,,,MGM,,,,,,2.2,376.0,0.0011839493564347286,22.0,
573,Malcolm X,48169910.0,48169910.0,,35000000.0,Nov 18 1992,,,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Spike Lee,90.0,7.7,23062.0,0.06336748216002089,77.0,90.0
574,Maniac,10000000.0,10000000.0,,350000.0,Dec 31 1979,,,,,,,,,6.2,3281.0,0.013154992849274762,62.0,
575,Mary Poppins,102300000.0,102300000.0,,6000000.0,Aug 26 1964,,,,,Musical,,,100.0,7.7,34302.0,0.1345755768480808,77.0,100.0
576,Mary Reilly,5707094.0,6370115.0,,47000000.0,Feb 23 1996,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,27.0,5.5,6864.0,0.00750767807601389,55.0,27.0
